District,Latitude,Longitude,Solar_Cooking_Pct,Solar_HeatingSpace_Pct,Solar_HeatingWater_Pct,Total_Households,Urban,Solar_Cooking_Count,Solar_HeatingSpace_Count,Solar_HeatingWater_Count
Gaborone,-24.6581,25.9088,0.2,0.3,1.0,82421,1,165,247,824
Francistown,-21.167,27.5083,0.2,0.3,0.5,33811,1,68,101,169
Lobatse,-25.2222,25.6786,0.1,0.0,0.1,9839,1,10,0,10
Selibe Phikwe,-21.9758,27.8496,0.2,0.0,0.6,13330,1,27,0,80
Orapa,-21.3,25.3667,0.1,3.3,5.7,3049,1,3,101,174
Jwaneng,-24.6,24.7167,0.1,0.4,1.6,6586,1,7,26,105
Sowa,-20.5333,26.2167,0.1,0.0,0.2,1106,1,1,0,2
Southern,-24.9667,25.35,0.3,0.2,0.3,37806,0,113,76,113
Barolong,-25.8833,25.3333,0.1,0.1,0.1,16498,0,16,16,16
Ngwaketse West,-25.05,23.1333,0.3,0.2,0.7,6588,0,20,13,46
South East,-24.8712,25.8171,0.2,0.2,0.8,36327,0,73,73,291
Kweneng East,-24.4067,25.495,0.3,0.3,0.4,100751,0,302,302,403
Kweneng West,-24.0333,24.9833,0.2,0.2,0.3,15920,0,32,32,48
Kgatleng,-24.4256,26.1483,0.2,0.3,0.5,36538,0,73,110,183
Central Serowe-Palapye,-22.3875,26.7107,0.2,0.1,0.3,56992,0,114,57,171
Central Mahalapye,-23.1041,26.8142,0.2,0.3,0.4,36683,0,73,110,147
Central Bobonong,-21.9667,28.4333,0.2,0.1,0.7,22212,0,44,22,155
Central Boteti,-21.4167,25.6167,0.6,0.2,0.6,21259,0,128,43,128
Central Tutume,-20.4667,27.1333,0.2,0.4,0.5,46626,0,93,187,233
North East,-20.6167,27.4667,0.2,0.1,0.4,20912,0,42,21,84
Ngamiland East,-19.9833,23.4167,0.3,0.3,0.5,31591,0,95,95,158
Ngamiland West,-20.4667,22.7167,0.3,0.4,1.3,17921,0,54,72,233
Chobe,-17.8167,25.15,0.3,0.9,1.6,10124,0,30,91,162
Delta,-18.8,22.4167,1.6,1.1,1.1,192,0,3,2,2
Ghanzi,-21.5667,21.7667,0.5,0.6,1.6,15158,0,76,91,243
CKGR,-22.1833,23.4667,1.2,1.2,3.6,84,0,1,1,3
Kgalagadi South,-26.05,22.4,0.4,0.3,0.3,9749,0,39,29,29
Kgalagadi North,-24.0167,21.7667,0.2,0.3,0.5,7172,0,14,22,36
