District,Latitude,Longitude,Solar_Cooking_Pct,Solar_HeatingSpace_Pct,Solar_HeatingWater_Pct,Total_Households,Urban,Solar_Cooking_Count,Solar_HeatingSpace_Count,Solar_HeatingWater_Count,Gi_zscore,Gi_pvalue,Hotspot_class
Gaborone,-24.6581,25.9088,0.2,0.3,1.0,82421,1,165,247,824,-0.32144978554760356,0.206,Not significant
Francistown,-21.167,27.5083,0.2,0.3,0.5,33811,1,68,101,169,-0.44283641785229294,0.0431,Cold spot
Lobatse,-25.2222,25.6786,0.1,0.0,0.1,9839,1,10,0,10,-0.33472514204360637,0.2143,Not significant
Selibe Phikwe,-21.9758,27.8496,0.2,0.0,0.6,13330,1,27,0,80,-0.38214310169994814,0.155,Not significant
Orapa,-21.3,25.3667,0.1,3.3,5.7,3049,1,3,101,174,0.3980515202680726,0.2294,Not significant
Jwaneng,-24.6,24.7167,0.1,0.4,1.6,6586,1,7,26,105,-0.3347251420436065,0.18,Not significant
Sowa,-20.5333,26.2167,0.1,0.0,0.2,1106,1,1,0,2,-0.21259569832499323,0.3942,Not significant
Southern,-24.9667,25.35,0.3,0.2,0.3,37806,0,113,76,113,-0.4305105881576397,0.0462,Cold spot
Barolong,-25.8833,25.3333,0.1,0.1,0.1,16498,0,16,16,16,-0.4568545857622196,0.0235,Cold spot
Ngwaketse West,-25.05,23.1333,0.3,0.2,0.7,6588,0,20,13,46,-0.24888893377863539,0.3389,Not significant
South East,-24.8712,25.8171,0.2,0.2,0.8,36327,0,73,73,291,-0.32144978554760356,0.2051,Not significant
Kweneng East,-24.4067,25.495,0.3,0.3,0.4,100751,0,302,302,403,-0.30942948523830344,0.2594,Not significant
Kweneng West,-24.0333,24.9833,0.2,0.2,0.3,15920,0,32,32,48,-0.32144978554760345,0.2445,Not significant
Kgatleng,-24.4256,26.1483,0.2,0.3,0.5,36538,0,73,110,183,-0.32144978554760345,0.2445,Not significant
Central Serowe-Palapye,-22.3875,26.7107,0.2,0.1,0.3,56992,0,114,57,171,-0.20006315324291407,0.4078,Not significant
Central Mahalapye,-23.1041,26.8142,0.2,0.3,0.4,36683,0,73,110,147,-0.32144978554760345,0.2445,Not significant
Central Bobonong,-21.9667,28.4333,0.2,0.1,0.7,22212,0,44,22,155,-0.38214310169994814,0.1517,Not significant
Central Boteti,-21.4167,25.6167,0.6,0.2,0.6,21259,0,128,43,128,-0.46375615083992183,0.0272,Cold spot
Central Tutume,-20.4667,27.1333,0.2,0.4,0.5,46626,0,93,187,233,-0.20006315324291407,0.4024,Not significant
North East,-20.6167,27.4667,0.2,0.1,0.4,20912,0,42,21,84,-0.44283641785229294,0.0374,Cold spot
Ngamiland East,-19.9833,23.4167,0.3,0.3,0.5,31591,0,95,95,158,1.2646248527130675,0.0067,Hot spot
Ngamiland West,-20.4667,22.7167,0.3,0.4,1.3,17921,0,54,72,233,1.2646248527130675,0.0067,Hot spot
Chobe,-17.8167,25.15,0.3,0.9,1.6,10124,0,30,91,162,0.417057132277714,0.2034,Not significant
Delta,-18.8,22.4167,1.6,1.1,1.1,192,0,3,2,2,1.1421147208152773,0.0089,Hot spot
Ghanzi,-21.5667,21.7667,0.5,0.6,1.6,15158,0,76,91,243,1.2333466154815016,0.0082,Hot spot
CKGR,-22.1833,23.4667,1.2,1.2,3.6,84,0,1,1,3,0.2521953299965123,0.202,Not significant
Kgalagadi South,-26.05,22.4,0.4,0.3,0.3,9749,0,39,29,29,-0.35912011139458655,0.1347,Not significant
Kgalagadi North,-24.0167,21.7667,0.2,0.3,0.5,7172,0,14,22,36,0.5282566405852226,0.1475,Not significant
